ABC00125,HP-UX Script Execution,HP-UX,true,Run shell script on HP-UX server,Execute HP-UX script in maintenance window,"Run HP-UX shell script ensuring controlled impact on system processes.","1. Login using SSH\n2. Validate filesystem state\n3. Execute script using ksh\n4. Monitor syslog and process table\n5. Validate success","Revert updated files; restore mksysb or backup snapshot.","Execute script in test HP-UX LPAR; validate syslog entries."
ABC00126,VMware ESXi Host Command Execution,VMware ESXi,true,Run ESXi host command,Execute ESXi shell command safely,"Execute ESXi shell/maintenance mode command with proper validation.","1. Enable ESXi shell/SSH\n2. Run command\n3. Monitor hostd/vpxa logs\n4. Exit shell and disable SSH","Revert host settings; disable ESXi shell; restore previous configuration.","Validate VM operations; check ESXi logs; confirm host stability."
ABC00127,Firewall Configuration Update,Firewall,true,Update firewall ACL configuration,Controlled update of firewall ACL and security rules,"Modify firewall ACL rules to enhance network security while ensuring no outage.","1. Backup current ACL\n2. Apply updated rules\n3. Validate routing\n4. Monitor logs","Rollback using ACL backup.","Validate inbound/outbound access, rule hits."
ABC00128,Load Balancer Configuration Update,Load Balancer,true,Update load balancer config,Modify LB routing/pool configuration,"Update F5/HAProxy load balancer settings for traffic improvement.","1. Export config\n2. Apply updated pool/node config\n3. Validate traffic flow","Import old LB config.","Test node failover and distribution."
ABC00129,Cloud IAM Policy Configuration Update,AWS IAM,true,Update IAM policy configurations,Modify permissions for roles/policies,"Update cloud IAM policies to ensure proper access control.","1. Backup IAM policy JSON\n2. Apply new policy\n3. Validate role access","Reapply old JSON policy.","Run IAM access simulation tests."
ABC00130,Storage Volume Configuration Update,Storage,true,Modify storage volume configuration,Increase or tune storage volume,"Adjust storage volume parameters for better performance.","1. Validate storage health\n2. Apply new settings\n3. Monitor IOPS","Revert storage config.","Run disk I/O benchmarks."
ABC00131,Application Configuration Update,Application Server,true,Update app config parameters,Modify application config files,"Update application environment configs to support new features.","1. Backup config file\n2. Apply YAML/JSON changes\n3. Restart service","Restore backup config.","Validate app functionality."
ABC00132,Middleware Configuration Update,Middleware,true,Update middleware system config,Modify WebLogic/JBoss settings,"Apply configuration changes in middleware for performance or stability.","1. Export domain config\n2. Apply new settings\n3. Restart service","Re-import domain config.","Deploy test app and validate logs."
ABC00133,Backup Schedule Configuration Update,Backup Server,true,Update backup job configuration,Modify backup policy or schedule,"Change backup job frequency and retention policy settings.","1. Backup current backup config\n2. Update job schedule\n3. Validate next run","Restore previous backup schedule.","Check backup job execution logs."
ABC00134,Monitoring Alert Configuration Update,Monitoring,true,Update monitoring alert thresholds,Modify alert triggers for CPU/memory,"Update monitoring system thresholds to reduce alert noise.","1. Edit alert rule\n2. Apply new thresholds\n3. Validate alerts","Rollback alert config.","Trigger test alerts to confirm behavior."
ABC00135,API Gateway Configuration Update,API Gateway,true,Update API gateway settings,Modify API routing or throttling config,"Update API path mapping, throttling policies or routing rules.","1. Backup gateway config\n2. Apply changes\n3. Deploy gateway","Restore old API config.","Test all API routes and performance."
ABC00136,Identity Access Configuration Update,Identity Server,true,Update access configuration,Modify authentication/authorization rules,"Update LDAP/AD/SSO configuration for access policies.","1. Backup IAM config\n2. Apply updated access rules\n3. Validate login behavior","Reapply old IAM config.","Perform login & permission tests."
ABC00137,Web Server Service Restart,Apache HTTPD,true,Restart Apache web service,Controlled restart of Apache HTTPD service,"Restart Apache service to apply configuration updates.","1. Notify stakeholders\n2. Run 'systemctl restart httpd'\n3. Monitor error_log\n4. Validate website availability","Revert config changes and restart service again.","Perform HTTP checks; validate page load and SSL handshake."
ABC00138,Application Server Restart,JBoss EAP,true,Restart JBoss application server,Restart application service to recover performance,"Controlled restart of JBoss service on application node.","1. Stop service\n2. Clear temp/cache\n3. Start service\n4. Verify deployments","Rollback configuration or redeploy last stable build.","Validate app login, workflows, logs."
ABC00139,Database Listener Restart,Oracle Listener,true,Restart Oracle Listener service,Restart listener to resolve connectivity issues,"Restart Oracle listener in a controlled manner.","1. lsnrctl stop\n2. Wait\n3. lsnrctl start\n4. Monitor listener.log","Revert listener configuration if start fails.","Connect via SQL*Plus; validate DB connections."
ABC00140,Network Service Daemon Restart,Networking Daemon,true,Restart network daemon,Restart service to resolve routing/DNS issues,"Restart network daemon with minimal packet loss.","1. systemctl restart network\n2. Validate routing\n3. Check NIC status","Reapply network config backup.","Ping gateway and DNS tests."
ABC00141,Monitoring Agent Restart,Zabbix Agent,true,Restart Zabbix monitoring agent,Restart agent to restore heartbeat,"Restart Zabbix agent for monitoring fix.","1. Stop agent\n2. Clear PID\n3. Start agent\n4. Verify server connectivity","Reinstall agent or revert config.","Validate monitoring items and triggers."
ABC00142,Backup Service Restart,Veeam Backup,true,Restart backup job engine,Restart backup service to fix stalled jobs,"Restart Veeam Backup service to recover job execution.","1. Stop Veeam service\n2. Clear locks\n3. Start service","Restore previous service state.","Run sample backup job test."
ABC00143,API Gateway Service Restart,Kong API Gateway,true,Restart API gateway service,Restart service after config update,"Restart Kong gateway to load new routes/config.","1. kong stop\n2. kong start\n3. Check admin API\n4. Validate plugins","Reapply last working config.","Test key API endpoints."
ABC00144,Security Agent Restart,Symantec Endpoint,true,Restart security agent,Restart endpoint protection agent after update,"Restart Symantec client service.","1. Stop agent service\n2. Restart\n3. Check definitions","Reinstall agent if failure.","Run malware scan test and agent heartbeat check."
ABC00145,Mail Transport Service Restart,Postfix Mail,true,Restart Postfix service,Restart mail transport agent to resolve delays,"Controlled restart of Postfix MTA.","1. systemctl restart postfix\n2. Check mailq\n3. Validate smtpd logs","Restore postfix backup config.","Send test mail and monitor logs."
ABC00146,Linux Kernel Patch Update,Linux Server,true,Apply kernel patch on Linux server,Apply scheduled kernel patching for OS hardening,"Apply the latest Linux kernel patch to fix vulnerabilities and improve stability.","1. Download kernel patch\n2. Validate compatibility\n3. Apply patch using package manager\n4. Reboot server\n5. Verify services","Rollback to previous kernel via GRUB; restore backup.","Validate kernel version, dmesg logs, and service stability."
ABC00147,Windows Security Patch Update,Windows Server,true,Deploy monthly Windows security patches,Install Windows cumulative updates,"Apply Microsoft security updates to protect against vulnerabilities.","1. Download updates\n2. Install patches via WSUS\n3. Reboot server\n4. Validate event logs","Uninstall updates or restore snapshot.","Run application checks and validate services."
ABC00148,Oracle PSU Patch Update,Oracle Database,true,Apply Oracle PSU patch,Deploy Oracle Patch Set Update,"Install Oracle PSU to fix critical vulnerabilities.","1. Stop listener & DB\n2. Apply OPatch\n3. Start DB\n4. Validate logs","Restore Oracle Home backup.","Run SQL queries, listener checks."
ABC00149,MySQL Engine Patch Update,MySQL,true,Apply MySQL patch update,Patch MySQL engine for performance/security,"Install MySQL minor version patch.","1. Stop mysqld\n2. Apply patch\n3. Start mysqld\n4. Validate replication","Reinstall old binaries.","Check replication, query execution."
ABC00150,Network Firmware Patch Update,Network Switch,true,Apply firmware patch on switch,Install network firmware patches,"Update switch firmware for security and stability.","1. Backup config\n2. Upload firmware\n3. Apply patch\n4. Reboot switch","Restore previous firmware image.","Validate port status, routing, and connectivity."
ABC00151,Middleware Patch Deployment,WebLogic,true,Apply WebLogic PSU patch,Deploy security & performance patches,"Apply WebLogic CPU/PSU patches.","1. Stop WebLogic\n2. Apply patch installer\n3. Start WebLogic\n4. Validate domain logs","Restore previous middleware folder.","Run app deployment and console login tests."
ABC00152,Cloud OS Patch Update,Cloud VM,true,Apply OS patches on cloud VM,Install cloud-managed OS patches,"Apply OS patch through cloud automation.","1. Trigger patch job\n2. Monitor patch cycle\n3. Reboot if needed","Restore snapshot.","Validate VM health & cloud monitoring."
ABC00153,Storage Controller Patch Update,Storage Array,true,Apply controller firmware patch,Upgrade storage controller firmware,"Install storage controller firmware update.","1. Failover controller\n2. Apply patch on secondary\n3. Switch back\n4. Patch primary","Revert to previous firmware image.","Test disk I/O, latency checks."
ABC00154,Security Agent Patch Update,Endpoint Security,true,Patch endpoint security agent,Install security agent patch,"Deploy endpoint security patch to all servers.","1. Validate agent version\n2. Deploy patch\n3. Restart agent\n4. Validate definitions","Reinstall previous agent package.","Run malware signature tests."
ABC00155,API Gateway Patch Update,Kong API,true,Apply gateway patch,Patch API gateway version,"Upgrade Kong gateway version to latest stable release.","1. Backup config\n2. Apply patch packages\n3. Restart Kong service\n4. Validate admin API","Restore old Kong binaries.","Run API endpoint validations."
ABC00156,Web Application Deployment,Web Application,true,Deploy new web application build,Deploy updated web build to production,"Deploy a new version of the web application using CI/CD pipeline.","1. Trigger CI/CD pipeline\n2. Validate build artifacts\n3. Deploy to web servers\n4. Clear cache\n5. Validate logs","Rollback to previous build artifact.","Perform UI tests, endpoint ping tests."
ABC00157,Backend Service Deployment,Backend API Service,true,Deploy backend microservice,Deploy updated microservice package,"Deploy microservice container/image to cluster.","1. Pull updated image\n2. Update deployment YAML\n3. Apply changes\n4. Monitor pods","Revert to previous image tag.","Run API integration tests."
ABC00158,WebLogic Application Deployment,WebLogic,true,Deploy EAR/WAR on WebLogic,Deploy updated EAR/WAR package,"Deploy application package using WebLogic Console or WLST.","1. Stop deployment target\n2. Upload EAR/WAR\n3. Activate changes\n4. Restart managed server","Redeploy previous EAR/WAR.","Validate console logs and app homepage."
ABC00159,Cloud Function Deployment,Cloud Functions,true,Deploy serverless function release,Deploy updated cloud function,"Publish updated serverless function version.","1. Upload function code\n2. Set environment variables\n3. Deploy\n4. Validate logs","Revert to previous function version.","Invoke function and validate response."
ABC00160,API Gateway Deployment,API Gateway,true,Deploy new API route/version,Deploy updated API routes and plugins,"Push new API configuration to gateway.","1. Export current config\n2. Apply new routes/plugins\n3. Restart gateway\n4. Validate mapping","Reapply previous config snapshot.","Run API route and latency tests."
ABC00161,Database Script Deployment,Database,true,Deploy DB scripts,Deploy new DDL/DML scripts,"Execute controlled DB script deployment.","1. Run prechecks\n2. Execute DDL/DML scripts\n3. Validate constraints\n4. Commit transaction","Rollback script or restore backup.","Run data integrity checks."
ABC00162,Load Balancer Config Deployment,Load Balancer,true,Deploy LB config changes,Deploy updated pool/node mapping,"Deploy LB configuration via automation.","1. Backup config\n2. Upload new LB config\n3. Apply and sync","Restore old LB config.","Validate failover and traffic routing."
ABC00163,Security Rules Deployment,WAF,true,Deploy WAF rules,Deploy updated WAF ruleset,"Push new security signatures/rules.","1. Backup rule set\n2. Deploy updated rules\n3. Validate block/allow logs","Restore previous ruleset.","Perform WAF rule hit tests."
ABC00164,Storage Provisioning Deployment,Storage,true,Deploy storage provisioning updates,Provision new storage or extend existing volumes,"Deploy storage provisioning configuration.","1. Add LUN/volume\n2. Map to host\n3. Validate connectivity","Unmap new volume or revert storage configuration.","Run read/write performance tests."
ABC00165,Container Deployment,Kubernetes,true,Deploy containerized application,Deploy new Docker image to Kubernetes,"Deploy new container version to K8s cluster.","1. Update deployment YAML\n2. Apply via kubectl\n3. Monitor rollout","Rollback with kubectl rollout undo.","Test pods, services, endpoints."
ABC00166,Cloud VM Resource Scaling,AWS EC2,true,Scale cloud compute resources,Increase or decrease EC2 instance type,"Scale EC2 instance to accommodate growing workload or optimize cost.","1. Stop instance\n2. Modify instance type\n3. Start instance\n4. Validate system health","Revert to previous instance type.","Check CPU/memory graphs; app health checks."
ABC00167,Database Connection Pool Scaling,PostgreSQL,true,Adjust DB connection pool size,Increase or reduce DB pool settings,"Update PostgreSQL connection pool parameters to optimize throughput.","1. Update pgBouncer/postgres configs\n2. Reload service\n3. Validate connections","Restore previous pool settings.","Run workload test & validate latency."
ABC00168,Kubernetes Pod Autoscaling,Kubernetes,true,Enable/adjust pod autoscaling,Configure HPA scaling thresholds,"Configure Kubernetes Horizontal Pod Autoscaler for workload.","1. Edit HPA YAML\n2. Apply config\n3. Monitor metrics","Revert to old HPA settings.","Validate pod scaling under synthetic load."
ABC00169,Load Balancer Capacity Scaling,Load Balancer,true,Scale LB node capacity,Increase LB node pool or performance thresholds,"Increase load balancer node resources or add new nodes.","1. Add nodes to pool\n2. Sync config\n3. Validate traffic flow","Remove added nodes.","Test concurrent sessions & failover."
ABC00170,Storage Volume IOPS Scaling,Storage,true,Scale storage performance,Increase IOPS tier for volume,"Modify storage tier to support higher IOPS workloads.","1. Update performance tier\n2. Apply changes\n3. Validate I/O","Revert tier change.","Run disk I/O benchmark."
ABC00171,Message Queue Partition Scaling,Apache Kafka,true,Adjust Kafka partition count,Increase partitions for higher message throughput,"Modify Kafka topic partitions for scaling.","1. Validate topic config\n2. Increase partitions via CLI\n3. Monitor rebalance","Reset to old partition config (if supported).","Test producer/consumer speed."
ABC00172,Redis Cache Memory Scaling,Redis,true,Scale Redis memory settings,Increase or decrease maxmemory settings,"Modify Redis maxmemory and eviction policies.","1. Update redis.conf\n2. Restart Redis\n3. Validate memory usage","Revert memory config.","Run cache load tests."
ABC00173,Network Throughput Scaling,Network Router,true,Scale network bandwidth capacity,Adjust routing/QoS for high traffic,"Increase router bandwidth or QoS limits.","1. Backup config\n2. Update QoS/throughput settings\n3. Apply","Restore old QoS config.","Run throughput and latency validation."
ABC00174,Application Thread Pool Scaling,Application Server,true,Scale app thread pool size,Increase thread pool for performance optimization,"Modify thread pool configuration in server.","1. Update config files\n2. Restart app server\n3. Validate logs","Reapply previous thread pool settings.","Run load test & verify thread metrics."
ABC00175,Middleware Queue Depth Scaling,WebLogic,true,Adjust JMS queue depth,Scale JMS queue capacity for buffering,"Increase JMS queue thresholds in WebLogic.","1. Update queue config\n2. Activate changes\n3. Validate server logs","Revert to previous depth value.","Test message enqueue/dequeue."
ABC00176,Linux Server Health Check,Linux,true,Perform Linux system health check,Run resource and service health validation,"Conduct CPU, memory, disk, process, and service health checks on Linux server.","1. SSH into server\n2. Run top/vmstat/iostat\n3. Validate disk usage\n4. Check systemd services\n5. Review logs","No rollback required.","Verify system resource usage and application service status."
ABC00177,Oracle Database Health Check,Oracle Database,true,Perform Oracle DB health validation,Run health check queries and diagnostics,"Execute AWR, ASH, tablespace, and listener checks.","1. Run AWR report\n2. Validate tablespaces\n3. Check DB parameters\n4. Review alert logs","Restore any changed parameters.","Run SQL queries; validate listener connectivity."
ABC00178,Network Device Health Check,Network Switch,true,Perform network device health analysis,Validate interface, routing, and performance state,"Run health checks on switch/router.","1. Check interface status\n2. Validate routing tables\n3. Monitor port errors\n4. Review syslogs","Revert configuration if modified.","Perform ping and routing tests."
ABC00179,Cloud VM Health Check,Cloud VM,true,Perform cloud instance health check,Check VM metrics and status,"Verify CPU, memory, disk, network, and cloud monitoring alerts.","1. Review cloud monitoring metrics\n2. Validate agent status\n3. Check disk and network health\n4. Review OS logs","Reapply previous VM settings if changed.","Validate cloud monitoring events."
ABC00180,Storage System Health Check,Storage Array,true,Perform storage system diagnostics,Check disk, RAID groups, controllers,"Validate storage health across RAID, controllers, and LUNs.","1. Check disk status\n2. Validate RAID group\n3. Monitor latency\n4. Review controller logs","Switch controller or restore storage snapshot.","Run storage I/O tests."
ABC00181,Application Service Health Check,Application,true,Perform application-level health validation,Check app logs, endpoints, and performance,"Validate application components and service chain.","1. Validate URL endpoints\n2. Review logs\n3. Measure response time\n4. Check backend dependencies","Roll back any service configuration changes.","Perform functional and performance tests."
ABC00182,API Gateway Health Check,API Gateway,true,Perform API health validation,Check API routes, mapping, latency,"Validate API health, routing, and latency metrics.","1. Run health endpoint\n2. Validate upstreams\n3. Check rate limits\n4. Review logs","Revert gateway mapping if updated.","Run API GET/POST tests."
ABC00183,Middleware Server Health Check,WebLogic,true,Perform middleware health verification,Check JVM, threads, datasource states,"Validate WebLogic domain health.","1. Check server state\n2. Validate JDBC pools\n3. Review threads\n4. Inspect logs","Reapply old config if modified.","Deploy test app and check logs."
ABC00184,Security Event Health Check,Security Platform,true,Perform security platform health review,Check signatures, updates, events,"Validate antivirus/firewall/SIEM health.","1. Check signature status\n2. Validate event ingestion\n3. Ensure agent connectivity","Re-sync signatures.","Trigger sample events and validate detection."
ABC00185,Monitoring System Health Check,Monitoring,true,Perform monitoring system diagnostics,Verify alert engine, data ingestion,"Check monitoring system for data accuracy and processing.","1. Validate metrics flow\n2. Check agent connectivity\n3. Review alert engine\n4. Inspect logs","Restart agent/collector if needed.","Trigger synthetic alerts to confirm behavior."
ABC00186,Firewall System Health Check,Firewall,true,Perform firewall device health review,Check firewall CPU, memory, and rule processing,"Validate firewall performance, ACL hit count, session table, and log status.","1. Check CPU/memory utilization\n2. Validate active sessions\n3. Inspect ACL rule hits\n4. Review threat logs","Reapply previous firewall configuration if modified.","Run test traffic, validate inbound/outbound rules."
ABC00187,Load Balancer Health Check,F5 Load Balancer,true,Perform LB node and pool health check,Check LB pool member status and failover readiness,"Validate LB configuration, node health, pool status and VIP reachability.","1. Review node health\n2. Validate pool member states\n3. Inspect VIP availability\n4. Review LB logs","Revert LB config snapshot if applied.","Perform failover test and traffic distribution test."
ABC00188,Message Queue Health Check,RabbitMQ,true,Perform message queue health validation,Check queue depth, consumer state, and cluster health,"Validate RabbitMQ cluster status, queue length, consumer performance, and node health.","1. Check queue sizes\n2. Validate consumer health\n3. Inspect cluster status\n4. Review logs","Restore previous queue configuration if updated.","Publish/consume test messages; validate cluster replication."
ABC00189,CI/CD Pipeline Health Check,CI/CD Platform,true,Perform CI/CD engine health validation,Check job runners, agents, and execution queues,"Validate CI/CD pipeline execution, agent availability, and job performance.","1. Validate build agents\n2. Review pipeline queue\n3. Check logs\n4. Trigger test build","Revert any pipeline config changes.","Validate test build success and job timings."
ABC00190,Virtualization Platform Health Check,VMware vCenter,true,Perform vCenter host and VM health validation,Check host performance, VM status, and datastore health,"Validate ESXi host health, VM power state, datastore capacity, and vCenter alerts.","1. Review ESXi host performance\n2. Validate VM power states\n3. Inspect datastore usage\n4. Review events/alerts","Revert changes to VM/host settings if made.","Run VM operations test (power on/off, vMotion)."
ABC00191,Router Firmware Patch Update,Network Router,true,Apply router firmware patch,Deploy latest router firmware update,"Apply critical firmware patch to improve routing stability and security.","1. Backup running config\n2. Upload new firmware\n3. Schedule maintenance window\n4. Apply firmware\n5. Reboot router","Restore previous firmware image; reload old config.","Ping test; route table validation; failover test."
ABC00192,Switch OS Patch Update,Network Switch,true,Apply switch OS update,Upgrade switch IOS/NX-OS image,"Install switch OS update to enhance performance and fix vulnerabilities.","1. Backup switch config\n2. Upload new OS image\n3. Set boot variable\n4. Reload switch","Revert to old OS image.","Validate port status, VLAN routing, STP."
ABC00193,Firewall Signature Patch Update,Firewall,true,Apply IPS/IDS signature update,Update firewall security signatures,"Apply updated threat signatures for better protection.","1. Download signature pack\n2. Apply via firewall manager\n3. Monitor CPU/memory","Revert to previous signature set.","Run test traffic and validate logs."
ABC00194,Load Balancer Policy Update,F5/HAProxy,true,Apply LB policy update,Update load balancing policy rules,"Apply updated routing/persistence profile policies.","1. Export LB config\n2. Apply updated policy\n3. Sync config","Rollback to prior policy snapshot.","Perform VIP checks, node health tests."
ABC00195,DNS Zone File Update,DNS Server,true,Update DNS zone configuration,Modify DNS A/CNAME/MX entries,"Patch DNS zone files to correct/extend domain mappings.","1. Backup zone file\n2. Apply edits\n3. Reload DNS service","Restore old zone file.","nslookup/dig tests."
ABC00196,DHCP Configuration Patch Update,DHCP Server,true,Update DHCP scope settings,Modify DHCP scope or lease policies,"Apply DHCP configuration update for better IP allocation.","1. Backup dhcpd.conf\n2. Edit scope settings\n3. Restart DHCP service","Restore previous dhcpd.conf.","Validate IP leasing with test clients."
ABC00197,VPN Gateway Patch Deployment,VPN Gateway,true,Apply VPN gateway software patch,Update VPN appliance software,"Patch VPN gateway to improve encryption & stability.","1. Download patch bundle\n2. Apply patch\n3. Restart gateway services","Restore previous VPN firmware.","Run VPN connection tests."
ABC00198,Proxy Policy Patch Update,Web Proxy,true,Update proxy content filters,Patch proxy policy rules and filters,"Apply updated URL/category filters.","1. Export proxy rules\n2. Apply updated filters\n3. Restart proxy","Rollback proxy rules.","Validate policy hits using test URLs."
ABC00199,SD-WAN Edge Patch Update,SD-WAN Appliance,true,Apply SD-WAN device patch,Deploy SD-WAN OS update,"Update SD-WAN Edge OS for improved routing.","1. Backup SD-WAN config\n2. Upload OS update\n3. Apply & reboot","Restore previous OS file.","Validate SD-WAN tunnels, performance metrics."
ABC00200,Wireless Controller Patch Update,Wireless Controller,true,Apply WLAN controller patch,Update wireless controller firmware,"Patch wireless controller to improve AP stability.","1. Backup controller config\n2. Upload firmware\n3. Reboot controller","Revert to old firmware.","Validate AP registration and client connectivity."
ABC00201,WebLogic Domain Configuration Update,WebLogic,true,Update WebLogic domain configuration,Modify WebLogic domain settings,"Apply configuration changes to WebLogic domain including JDBC pools, JVM parameters, and cluster settings.","1. Export domain config\n2. Apply updated settings via console or WLST\n3. Restart managed servers\n4. Validate domain logs","Restore previous domain configuration using backup.","Deploy test application and validate server state."
ABC00202,JBoss Application Module Deployment,JBoss,true,Deploy updated JBoss module,Deploy a new or updated JBoss application module,"Install updated JBoss module to improve performance or fix issues.","1. Upload module\n2. Execute CLI deployment commands\n3. Restart JBoss service\n4. Validate deployment","Redeploy previous module version.","Validate logs and application functionality."
ABC00203,Tomcat Connector Configuration Update,Tomcat,true,Update Tomcat connector settings,Modify HTTP/HTTPS connector configuration,"Apply modifications to server.xml for connector tuning.","1. Backup server.xml\n2. Apply connector tuning\n3. Restart Tomcat\n4. Validate logs","Restore original server.xml.","Validate port access, endpoint response times."
ABC00204,Kafka Broker Configuration Update,Apache Kafka,true,Apply Kafka broker config changes,Update Kafka server.properties file,"Apply Kafka configuration changes like retention, replication, or quotas.","1. Update server.properties\n2. Restart broker\n3. Monitor cluster health","Revert old properties file.","Run producer/consumer tests."
ABC00205,RabbitMQ Plugin Enablement,RabbitMQ,true,Enable RabbitMQ plugin,Activate and configure RabbitMQ plugin,"Enable plugin such as MQTT, Federation, or Shovel.","1. Enable plugin via CLI\n2. Restart RabbitMQ\n3. Validate logs","Disable plugin and restore old config.","Publish/consume queue messages for validation."
ABC00206,Nginx Reverse Proxy Rule Update,Nginx,true,Update Nginx reverse proxy rules,Modify proxy_pass and routing logic,"Update Nginx conf to improve routing or security.","1. Backup nginx.conf\n2. Apply new rules\n3. Reload Nginx\n4. Validate connections","Restore nginx.conf.","Check upstream routing and access logs."
ABC00207,Redis Config Parameter Update,Redis,true,Update Redis memory and persistence config,Modify Redis maxmemory or persistence settings,"Tune Redis configuration for performance.","1. Update redis.conf\n2. Restart Redis\n3. Validate memory usage","Revert config file.","Run Redis read/write and latency tests."
ABC00208,ActiveMQ Broker Health Configuration Update,ActiveMQ,true,Update ActiveMQ health configs,Modify broker health thresholds and settings,"Adjust ActiveMQ health rules and transport connectors.","1. Update activemq.xml\n2. Restart ActiveMQ service\n3. Validate logs","Restore XML config backup.","Test producer/consumer connectivity."
ABC00209,IBM MQ Channel Authentication Update,IBM MQ,true,Update MQ channel authentication rules,Modify CHLAUTH rules for MQ channels,"Apply MQ security updates to channels.","1. Backup CHLAUTH rules\n2. Apply new rules\n3. Refresh security\n4. Validate activity","Reapply backup rules.","Test queue manager connectivity."
ABC00210,Apache HTTPD Module Update,Apache HTTPD,true,Update or enable Apache module,Modify Apache module configuration,"Enable/disable Apache modules such as mod_ssl, mod_proxy.","1. Enable module\n2. Restart Apache\n3. Validate module loading","Disable module and restart.","Validate module functionality with HTTP tests."
